,LATITUDE,LONGITUDE,Coordinates,
Outdoor Adventures Center,40.82382557,-96.70103789,"40.82382557, -96.70103789",
University Suites,40.81743141,-96.69509819,"40.81743141, -96.69509819",
Stadium Drive Parking Garage,40.82033107,-96.7072291,"40.82033107, -96.7072291",
15th & U Street,40.82003526,-96.69988555,"40.82003526, -96.69988555",
U Street/15th - 16th Streets,40.82013326,-96.69819873,"40.82013326, -96.69819873",
Massengale,40.83100584,-96.66646888,"40.83100584, -96.66646888",
Harper Schramm Smith,40.8255795,-96.69959224,"40.8255795, -96.69959224",
Eastside Suites,40.81805896,-96.69435393,"40.81805896, -96.69435393",
Sapp Drive,40.82132947,-96.70136352,"40.82132947, -96.70136352",
Union,40.81755153,-96.69969868,"40.81755153, -96.69969868",
Sandoz,40.82213903,-96.69478796,"40.82213903, -96.69478796",
733 N 17th Street,40.82005947,-96.69653542,"40.82005947, -96.69653542",
Courtyard,40.82072682,-96.69696117,"40.82072682, -96.69696117",
1240 R Street,40.81815683,-96.70304341,"40.81815683, -96.70304341",
15th Street,,,,
South Stadium,40.81953362,-96.70619916,"40.81953362, -96.70619916",
S Street/16th-15th,,,,
1500 U Street(West),40.8202031,-96.69926351,"40.8202031, -96.69926351",
Harper Dining Center,40.82518101,-96.70039976,"40.82518101, -96.70039976",
Raikes Visitors,40.8197602,-96.70046267,"40.8197602, -96.70046267",
Activities North(Area A),,,"40.822186, -96.695279",
Hardin Hall,40.82903196,-96.67165275,"40.82903196, -96.67165275",
East Union,40.8303798,-96.66757929,"40.8303798, -96.66757929",
Dental North,40.81905872,-96.69326495,"40.81905872, -96.69326495",
Activities A/C Lot(1873),,,,
1329 R Street,40.81691856,96.70187603,"40.81691856, 96.70187603",
Boathouse,,,,
16th & W(1917),,,,
1777 N 42nd,40.83053717,-96.66226582,"40.83053717, -96.66226582",
Arboretum,,,"40.82923579244414, -96.6648236268441",
Law College South,,,"40.829788, -96.660509",
Dairy Store,,,"40.8298588534986, -96.66732344603783",
Memorial Loop,,,"40.820586, -96.703572",
Loop-Museum,,,,
16th & W Street,,,"40.82277648634845, -96.69816241507004",
1900 N 42nd Street,,,"40.8325321140383, -96.66014010271498",
Memorial Mall,,,"40.82059491045331, -96.7024331910354",
