TICKET_#,Issue Date,CODE,Description,BASE_AMOUNT,AMOUNT_DUE,LOCATION,Warning,Void
AE0201711117,8/22/2023,01,Overtime,10.00,0.00,Outdoor Adventures Center,0.00,0.00
AE0201812742,8/22/2023,01,Overtime,10.00,0.00,University Suites,1.00,0.00
AE0201812743,8/22/2023,01,Overtime,10.00,0.00,University Suites,1.00,0.00
AE0201609955,8/23/2023,01,Overtime,10.00,0.00,Stadium Drive Parking Garage,1.00,0.00
AE0201609956,8/23/2023,01,Overtime,10.00,0.00,Stadium Drive Parking Garage,1.00,0.00
AE0201609957,8/23/2023,01,Overtime,10.00,0.00,Stadium Drive Parking Garage,1.00,0.00
AE0202011972,8/29/2023,01,Overtime,10.00,0.00,15th & U Street,0.00,0.00
AE0201711345,8/29/2023,01,Overtime,10.00,0.00,15th & U Street,0.00,0.00
AE0201711393,8/31/2023,01,Overtime,10.00,0.00,15th & U Street,0.00,0.00
AE0202012087,9/5/2023,01,Overtime,10.00,0.00,U Street/15th - 16th Streets,0.00,0.00
AE0202012088,9/5/2023,01,Overtime,10.00,0.00,U Street/15th - 16th Streets,0.00,0.00
AE0202012089,9/5/2023,01,Overtime,10.00,10.00,U Street/15th - 16th Streets,0.00,0.00
AE0201813142,9/7/2023,01,Overtime,10.00,0.00,Massengale,0.00,0.00
AE0201813219,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,1.00,0.00
AE0201813220,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,1.00
AE0202012248,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,1.00,0.00
AE0202209128,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,0.00
AE0202209133,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,0.00
AE0202012255,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,0.00
AE0202012268,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,0.00
AE0202209149,9/11/2023,01,Overtime,10.00,0.00,Harper Schramm Smith,0.00,0.00
AE0201813265,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813266,9/11/2023,01,Overtime,10.00,0.00,University Suites,1.00,0.00
AE0201813267,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813268,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813276,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813277,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813278,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0201813279,9/11/2023,01,Overtime,10.00,0.00,University Suites,0.00,0.00
AE0202209193,9/12/2023,01,Overtime,10.00,0.00,Massengale,0.00,0.00
AE0202209194,9/12/2023,01,Overtime,10.00,0.00,Massengale,0.00,0.00
AE0201813344,9/12/2023,01,Overtime,10.00,0.00,Eastside Suites,0.00,0.00
AE0201813345,9/12/2023,01,Overtime,10.00,0.00,Eastside Suites,1.00,0.00
